Date,VALE3,PETR4,ITUB4,PETR3,BBDC4,BBAS3,WEGE3,ELET3,SBSP3,B3SA3,ABEV3,ITSA4,BPAC11,EQTL3,RENT3,JBSS3,PRIO3,RDOR3,SUZB3,EMBR3,RADL3,RAIL3,VBBR3,GGBR4,UGPA3,BBSE3,ENEV3,VIVT3,CMIG4,BBDC3
2022-10-20,62.33867645263672,23.19196319580078,26.4752197265625,25.084121704101562,17.670135498046875,18.55325698852539,33.5059700012207,47.02131652832031,54.112548828125,12.99473762512207,13.577515602111816,7.8603081703186035,26.1793212890625,27.428058624267578,63.402732849121094,21.969810485839844,33.156742095947266,28.502124786376953,46.77519607543945,12.350000381469727,22.117265701293945,20.534679412841797,16.08149528503418,17.813697814941406,12.576668739318848,24.60659408569336,13.8100004196167,35.83534240722656,6.1470746994018555,14.679655075073242
2022-10-21,64.16503143310547,23.986860275268555,27.35597038269043,25.939191818237305,18.04442596435547,19.012834548950195,34.02798843383789,48.131980895996094,56.11884307861328,13.579498291015625,13.821261405944824,8.067938804626465,27.147871017456055,27.748685836791992,64.01327514648438,22.202613830566406,33.79571533203125,29.1597900390625,46.860069274902344,12.529999732971191,22.577260971069336,21.090206146240234,16.31123161315918,18.16377830505371,12.97805118560791,24.38913345336914,13.819999694824219,35.59489059448242,6.300205707550049,15.070070266723633
2022-10-24,62.260772705078125,21.78022003173828,26.114118576049805,23.373979568481445,17.278430938720703,17.1064453125,33.7573127746582,47.17858123779297,55.85133361816406,13.031864166259766,13.703902244567871,7.756494522094727,26.587629318237305,27.350332260131836,63.63755416870117,22.42679786682129,33.43629837036133,28.444095611572266,48.49154281616211,12.619999885559082,22.830724716186523,20.881881713867188,15.63969612121582,18.082988739013672,12.567111015319824,23.996030807495117,13.75,35.44349670410156,6.245516300201416,14.367321014404297
2022-10-25,62.260772705078125,21.322359085083008,25.90273094177246,23.024463653564453,17.173978805541992,16.81282615661621,33.882991790771484,46.29397964477539,55.34498596191406,12.855507850646973,13.460156440734863,7.712000846862793,26.188817977905273,27.22402572631836,61.79653549194336,22.33194923400879,33.735816955566406,28.144277572631836,49.066802978515625,13.149999618530273,22.50215721130371,20.415637969970703,15.35694408416748,17.982004165649414,12.051047325134277,23.619653701782227,13.630000114440918,35.26538848876953,6.097855091094971,14.263208389282227
2022-10-26,63.645687103271484,20.800907135009766,25.347867965698242,22.606292724609375,16.425390243530273,16.217077255249023,36.71542739868164,44.56410217285156,54.31317901611328,12.23361587524414,13.631681442260742,7.511785507202148,24.992374420166016,26.66050148010254,59.532814025878906,21.374868392944336,33.276554107666016,27.022377014160156,49.79295349121094,12.770000457763672,22.023386001586914,20.008913040161133,14.809111595153809,17.934879302978516,11.668777465820312,23.452377319335938,13.180000305175781,35.54145812988281,5.868160247802734,13.707948684692383
2022-10-27,61.37788391113281,20.959882736206055,25.814661026000977,22.674949645996094,16.730051040649414,16.421335220336914,37.53712844848633,46.775596618652344,55.53606414794922,12.883355140686035,14.046951293945312,7.704587459564209,25.91344451904297,27.748685836791992,62.49161148071289,21.495580673217773,33.55610275268555,28.211977005004883,50.0947265625,12.899999618530273,22.77440071105957,20.7926025390625,15.542501449584961,17.89448356628418,12.318635940551758,24.405860900878906,13.630000114440918,36.44090270996094,6.108793258666992,13.976905822753906
2022-10-28,58.382991790771484,20.711877822875977,26.017234802246094,22.33167266845703,16.82579803466797,16.519208908081055,37.189109802246094,47.591392517089844,56.883148193359375,13.161812782287598,14.236531257629395,7.712000846862793,26.03688621520996,27.768115997314453,62.942481994628906,22.237106323242188,33.96544647216797,29.401578903198242,51.97139358520508,13.130000114440918,23.318883895874023,21.07036590576172,15.515992164611816,17.2414493560791,12.414202690124512,24.5229549407959,13.640000343322754,36.610111236572266,6.2072343826293945,14.081015586853027
2022-10-31,58.10600662231445,18.95673942565918,26.774673461914062,20.758840560913086,17.287137985229492,15.75324535369873,38.938846588134766,48.96743392944336,57.418155670166016,13.96005916595459,14.444165229797363,7.964123725891113,27.48021697998047,29.176925659179688,66.2582015991211,21.521446228027344,35.333248138427734,31.113447189331055,50.170169830322266,13.75,24.698863983154297,21.963176727294922,16.125675201416016,17.3356990814209,12.815587043762207,24.832420349121094,14.180000305175781,36.78821563720703,6.218170642852783,14.436729431152344
2022-11-01,59.87178039550781,18.988536834716797,26.84310531616211,20.827499389648438,17.382884979248047,16.127716064453125,38.09782409667969,48.70205307006836,57.59012222290039,14.034314155578613,14.254585266113281,7.978957176208496,27.556180953979492,29.147777557373047,66.29578399658203,21.46971321105957,37.070457458496094,32.18699264526367,49.85896301269531,13.720000267028809,24.50172233581543,21.675493240356445,16.788372039794922,17.658851623535156,13.379433631896973,24.84078598022461,14.119999885559082,36.36967086791992,6.431459426879883,14.497458457946777
2022-11-03,58.123329162597656,19.0457706451416,26.649229049682617,20.883668899536133,17.08576011657715,16.463884353637695,38.86151885986328,49.802886962890625,57.32261657714844,14.275646209716797,14.462220191955566,7.964123725891113,27.4327392578125,28.885448455810547,67.98650360107422,21.495580673217773,36.68108367919922,32.254695892333984,50.84916305541992,13.59000015258789,24.53927230834961,21.645732879638672,17.06229019165039,17.35590171813965,13.618352890014648,24.748781204223633,13.640000343322754,37.13552474975586,6.4697418212890625,14.208470344543457
